Depth(m),Voltage(V),Current(mA),# Counts
16.625,1.048437,6.989578,20821
16.65,0.811518,5.410117,16116
16.675,0.712369,4.749126,14147
16.7,0.731755,4.87837,14532
16.725,0.849384,5.662562,16868
16.75,0.759904,5.066026,15091
16.775,0.52943,3.529534,10514
16.8,0.674502,4.496681,13395
16.825,0.506065,3.37377,10050
16.85,0.581799,3.87866,11554
16.875,0.589856,3.932372,11714
16.9,0.645498,4.303319,12819
16.925,0.66,4.4,13107
16.95,0.702701,4.684672,13955
16.975,0.755876,5.03917,15011
17,0.666445,4.44297,13235
17.025,0.605969,4.039795,12034
17.05,0.53507,3.567132,10626
17.075,0.605164,4.034424,12018
17.1,0.832465,5.549767,16532
17.125,0.864692,5.764614,17172
17.15,0.998434,6.656229,19828
17.175,0.74379,4.958602,14771
17.2,0.788153,5.254353,15652
17.225,0.696306,4.642038,13828
17.25,0.748624,4.990829,14867
17.275,0.673696,4.49131,13379
17.3,0.595496,3.96997,11826
17.325,0.821186,5.474571,16308
17.35,0.598718,3.991455,11890
17.375,0.929146,6.194308,18452
17.4,0.72526,4.835065,14403
17.425,0.539904,3.599359,10722
17.45,0.59469,3.964599,11810
17.475,0.622133,4.147554,12355
17.5,0.580993,3.873289,11538
17.525,0.643081,4.287205,12771
17.55,0.491563,3.277089,9762
17.575,0.745452,4.96968,14804
17.6,0.593079,3.953857,11778
17.625,0.856686,5.711238,17013
17.65,0.780902,5.206012,15508
17.675,0.85019,5.667933,16884
17.7,1.073413,7.156084,21317
17.725,0.716397,4.775982,14227
17.75,0.796965,5.3131,15827
17.775,0.847773,5.65182,16836
17.8,0.817963,5.453086,16244
17.825,0.664834,4.432227,13203
17.85,0.991183,6.607889,19684
17.875,0.879194,5.861296,17460
17.9,0.768011,5.120073,15252
17.925,0.882417,5.882781,17524
17.95,0.837299,5.581994,16628
17.975,0.710758,4.738384,14115
18,0.691421,4.609476,13731
18.025,0.722843,4.818952,14355
18.05,0.696255,4.641703,13827
18.075,0.50526,3.368398,10034
18.1,0.893696,5.957976,17748
18.125,0.71398,4.759869,14179
18.15,0.720426,4.802838,14307
18.175,0.787347,5.248981,15636
18.2,0.414218,2.761456,8226
